Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
Python. К вершинам мастерства,Рамальо Лучано,ДМК-Пресс,1547,2063,25,На складе
Введение в ECMAScript 6,Прасти Нараян,ДМК-Пресс,768,1024,25,На складе
Искусство создания сценариев в Unity,Торн Алан,ДМК-Пресс,1223,1631,25,На складе
Программирование мобильных устройств на платформе .Net Compact Framework,Самре Иво,Вильямс,1001,1334,25,На складе
"Разработка приложений для iPhone, iPad и iPod touch с использованием iOS SDK",Марк Дэйв и др.,Вильямс,1296,1728,25,На складе
Silverlight 5 с примерами на C# для профессионалов,Мак-Дональд Мэтью,Вильямс,1556,2075,25,На складе
Искусство программирования. Том 2. Получисленные алгоритмы,Кнут Дональд Эрвин,Диалектика,3890,5186,25,На складе
C# для профессионалов. Тонкости программирования,Скит Джон,Вильямс,3242,4322,25,На складе
Java EE 7. Основы,Гупта Арун,Вильямс,783,1044,25,Ограничено
Java SE 8. Вводный курс,Хорстманн Кей С.,Вильямс,783,1044,25,Ограничено
Joomla! Для профессионалов,Рамел Дэн,Вильямс,1296,1728,25,На складе
Microsoft Exchange Server 2013. Полное руководство,Моримото Рэнд и др.,Вильямс,2592,3456,25,На складе
WinRT. программирование на C# для профессионалов,"Рихтер Джеффри, ван де Боспурт Мартен",Вильямс,1296,1728,25,Ограничено
"Программирование для iOS 7. Основы Objective-C, Xcode и Cocoa",Нойбург Мэтт,Вильямс,1038,1384,25,Ограничено
Руководство для программиста на Java. 75 рекомендаций по написанию надежных и защищенных программ,Лонг Фрэд и др.,Вильямс,715,953,25,На складе
Язык программирования C++. Базовый курс,Липпман Стенли Б. и др.,Вильямс,3890,5186,25,На складе
ASP.NET MVC 5 с примерами на C# 5.0 для профессионалов,Фримен Адам,Вильямс,4288,5717,25,На складе
Python. Карманный справочник,Лутц Марк,Диалектика,783,1044,25,На складе
Swift. Разработка приложений в среде Xcode для iPhone и iPad с использованием iOS SDK,Марк Дэвид и др.,Вильямс,3242,4322,25,Ограничено
Искусственный интеллект. Современный подход,"Рассел Стюарт, Норвиг Питер",Вильямс,7776,10368,25,Ограничено
Искусство программирования. Том 1. Основные алгоритмы,Кнут Дональд Эрвин,Вильямс,3890,5186,25,На складе
"Компиляторы. Принципы, технологии и инструментарий",Ахо Альфред В. и др.,Диалектика,6482,8642,25,На складе
"Новые сложные задачи на C++. Серия ""C++ In-Depth""",Саттер Герб,Вильямс,1038,1384,25,На складе
Предметно-ориентированное проектирование (DDD). Структуризация сложных программных систем,Эванс Эрик,Вильямс,5186,6914,25,На складе
"Современное проектирование на C++. Серия ""C++ In-Depth""",Александреску Андрей,Вильямс,1296,1728,25,На складе
Стандарты программирования на С++. 101 правило и рекомендация,"Саттер Герб, Александреску Андрей",Вильямс:С++ In-Depth,1296,1728,25,На складе
"Шаблоны интеграции корпоративных приложений. Проектирование, создание и развертывание решений","Хоп Грегор, Вульф Бобби",Диалектика,3890,5186,25,На складе
Язык программирования C,"Керниган Брайан, Ритчи Деннис",Вильямс,1556,2075,25,На складе
Язык программирования C. Лекции и упражнения,Прата Стивен,Диалектика,3242,4322,25,Ограничено
C# 4.0. Полное руководство,Шилдт Герберт,Диалектика,3242,4322,25,На складе
C++. Базовый курс,Шилдт Герберт,Вильямс,1944,2592,25,На складе
HTML5. Карманный справочник,Роббинс Дженнифер,Вильямс,783,1044,25,На складе
Java. Библиотека профессионала. Том 2. Расширенные средства программирования,"Хорстманн Кей С., Корнелл Гари",Вильямс,2858,3811,25,Ограничено
Алгоритмы на Java,"Седжвик Роберт, Уэйн Кевин",Вильямс,5186,6914,25,На складе
Искусство программирования. Том 4А. Комбинаторные алгоритмы. Часть 1,Кнут Дональд Эрвин,Вильямс,5186,6914,25,На складе
Программирование. Принципы и практика с использованием C++,Страуструп Бьярне,Вильямс,4538,6050,25,Ограничено
Эффективный и современный С++. 42 рекомендации по использованию C++11 и C++14,Мейерс Скотт,Диалектика,2592,3456,25,Ограничено
Язык программирования C++. Лекции и упражнения,Прата Стивен,Диалектика,3890,5186,25,На складе
Drupal 7. Руководство пользователя,Колисниченко Денис Николаевич,Диалектика,278,371,25,На складе
Joomla 2.5. Руководство пользователя,Колисниченко Денис Николаевич,Диалектика,404,538,25,Ограничено
C# 5.0 и платформа .NET 4.5 для профессионалов,Глинн Джей и др.,Диалектика,1944,2592,25,Ограничено
C++ для чайников,Дэвис Стефан Рэнди,"Диалектика:Для ""чайников""",1296,1728,25,На складе
Расширение библиотеки STL для С++. Наборы и итераторы (+CD),Уилсон Мэтью,BHV,769,1025,25,На складе
Поисковая адаптация. Теория и практика,Курейчик Виктор Михайлович и др.,Физматлит:Информационные и компьютерные технологии,632,842,25,Ограничено
Методы оптимальных решений. В 2 томах. Том 1. Общие положения. Математическое программирование,"Соколов Александр Валерьевич, Токарев Владислав Васильевич",Физматлит,1518,2024,25,Ограничено
Методы оптимальных решений. В 2 томах. Том 2. Многокритериальность. Динамика. Неопределенность,Токарев Владислав Васильевич,Физматлит,1442,1922,25,Ограничено
Компьютерное моделирование логических процессов. Архитектура и язык решателя задач,Подколзин Александр Сергеевич,Физматлит,1602,2136,25,Ограничено
Обработка естественного языка на Java,Риз Ричард,ДМК-Пресс,1070,1427,25,На складе
Современное логическое программирование на языке Visual Prolog 7.5. Учебник,Марков В. Н.,BHV:Что вам могут не сказать...,809,1078,25,На складе
Программирование на Python для начинающих,МакГрат Майк,Эксмо-Пресс:Программирование для начинающих,568,728,22,На складе
Автоматизированные информационно-управляющие системы с применением SCADA-системы TRACE MODE,Пьявченко Тамила Алексеевна,Лань:Учебники для вузов. Специальная литература,1790,2386,25,На складе
Язык Swift. Самоучитель,Харазян Айк Арменович,BHV:Самоучитель,339,452,25,На складе
Изучаем C++ через программирование игр,Доусон Майкл,Питер,812,1113,27,На складе
Git для профессионального программиста,"Чакон Скотт, Страуб Бен",Питер:Библиотека программиста,1154,1581,27,На складе
Построение систем машинного обучения на языке Python,"Коэльо Луис Педро, Ричарт Вилли",ДМК-Пресс,1070,1427,25,На складе
JavaScript и jQuery. Исчерпывающее руководство,Макфарланд Дэвид,Эксмо:Мировой компьютерный бестселлер,1314,1685,22,На складе
MUMPS СУБД. Практика применения и опыт программирования,Каратаев Евгений Анатольевич,Солон-пресс:Библиотека профессионала,1364,1819,25,Ограничено
Полезное программирование. Уникальное руководство,Комлев Николай Юрьевич,Солон-пресс:Библиотека профессионала,728,970,25,На складе
MATLAB и SIMULINK для радиоинженеров,Дьяконов Владимир Павлович,ДМК-Пресс:Математика и Matlab,1988,2651,25,На складе
Java EE 7 и сервер приложений GlassFish 4,Хеффельфингер Дэвид,ДМК-Пресс,1070,1427,25,На складе
Программирование на ассемблере на платформе x86-64,Аблязов Руслан Зуфярович,ДМК-Пресс,760,1013,25,На складе
Семантический веб,Антониоу Григорис и др.,ДМК-Пресс,917,1223,25,Ограничено
Функциональное программирование на языке Haskell,Душкин Роман Викторович,ДМК-Пресс,1070,1427,25,На складе
Разработка приложений Java EE 7 в NetBeans 8,Хеффельфингер Дэвид,ДМК-Пресс,1122,1496,25,На складе
Путь Ruby,"Фултон Хэл, Арко Андрэ",ДМК-Пресс:Профессиональная серия программиста,1530,2040,25,На складе
Изучаем Spark,Карау Холден и др.,ДМК-Пресс,994,1325,25,На складе
Статистический анализ и визуализация данных с помощью R,"Мастицкий Сергей Эдуардович, Шитиков Владимир",ДМК-Пресс,1223,1631,25,Ограничено
LLVM. Инфраструктура для разработки компиляторов,"Кардос Лопес Бруно, Аулер Рафаэль",ДМК-Пресс,994,1325,25,Ограничено
OpenGL ES 3.0. Руководство разработчика,"Гинсбург Дэн, Пурномо Будирижанто",ДМК-Пресс,1376,1835,25,На складе
Современный Фортран на практике,Маркус Арьен,ДМК-Пресс,917,1223,25,На складе
Elastix - общайтесь свободно!,Юров Владислав,Эком,1067,1423,25,Ограничено
От математики к обобщенному программированию,"Степанов Александр, Роуз Дэниэл Э.",ДМК-Пресс,917,1223,25,На складе
Квантовые вычисления и функциональное программирование,Душкин Роман Викторович,ДМК-Пресс,546,728,25,На складе
Изучаем программирование на JavaScript,"Фримен Эрик, Робсон Элизабет",Питер:Head First (O'Reilly),1920,2630,27,На складе
OpenGL 4. Язык шейдеров. Книга рецептов,Вольф Дэвид,ДМК-Пресс,1223,1631,25,На складе
Микроконтроллеры AVR семейств Tiny и Mega фирмы ATMEL,Евстифеев А.В.,ДМК-Пресс:Мировая электроника,917,1223,25,На складе
Микроконтроллеры AVR семейства Classic фирмы ATMEL,Евстифеев А.В.,ДМК-Пресс:Мировая электроника,620,827,25,На складе
Микроконтроллеры AVR семейства Mega. Руководство пользователя,Евстифеев А.В.,ДМК-Пресс:Программируемые системы,1070,1427,25,На складе
"Проектирование на ПЛИС. Архитектура, средства и методы. Курс молодого бойца",Максфилд Клайв,ДМК-Пресс:Программируемые системы,917,1223,25,На складе
СУБД для программиста. Базы данных изнутри,Тарасов Сергей Витальевич,Солон-пресс:Библиотека профессионала,847,1129,25,На складе
Семь моделей конкуренции и параллелизма за семь недель,Батчер Пол,ДМК-Пресс,1070,1427,25,На складе
Язык С в XXI веке,Клеменс Бен,ДМК-Пресс,1147,1529,25,На складе
WebGL. Программирование трехмерной графики,"Мацуда Коичи, Ли Роджер",ДМК-Пресс,1223,1631,25,На складе
Философия Java,Эккель Брюс,Питер:Классика computer science,1834,2513,27,На складе
Адаптивные и инвариантные алгоритмы обнаружения объектов на изображениях и их моделирование в Matla,Волков Владимир Юрьевич,Лань,1118,1491,25,На складе
EJB 3 в действии,Панда Дебу и др.,ДМК-Пресс:Программирование в действии,1530,2040,25,На складе
"Обработка неструктурированных текстов. Поиск, организация и манипулирование",Ингерсолл Грант С. и др.,ДМК-Пресс:Программирование в действии,1147,1529,25,На складе
Практическое использование Common Lisp,Сайбель Питер,ДМК-Пресс:Функциональное программирование,1376,1835,25,На складе
Искусство поиска решения в нестандартной задаче,Потопахин Виталий Валерьевич,ДМК-Пресс:Прикладное программирование,470,626,25,Ограничено
Разработка требований к программному обеспечению,"Вигерс Карл, Битти Джой",BHV,1134,1512,25,На складе
Разработка веб-приложений с использованием Flask на языке Python,Гринберг Мигель,ДМК-Пресс,994,1325,25,На складе
Методы обработки и распознавания изображений лиц в задачах биометрии,Кухарев Георгий Александрович и др.,Политехника,909,1212,25,На складе
Эффективные технологии создания информационных систем,"Мещеряков Сергей Владимирович, Иванов Владимир Михайлович",Политехника,508,677,25,На складе
Программирование на Objective-C,Кочан Стивен,Эком:Библиотека разработчика,1576,2101,25,На складе
Лямбда-выражения в Java 8. Функциональное программирование - в массы,Уорбэртон Ричард,ДМК-Пресс:Функциональное программирование,620,827,25,На складе
Программирование на языке OCaml,Мински Ярон и др.,ДМК-Пресс:Функциональное программирование,1530,2040,25,На складе
Шейдеры и эффекты в Unity. Книга рецептов,Ламмерс Кенни,ДМК-Пресс,845,1127,25,На складе
Интерфейс JNI. Руководство по программированию и спецификация,Шенг Лиэнг,ДМК-Пресс,845,1127,25,На складе
Системная инженерия. Принципы и практика,Косяков Александр и др.,ДМК-Пресс,1530,2040,25,На складе
Читаем Тьюринга. Путешествие по исторической статье Тьюринга о вычислимости и машинах Тьюринга,Петцольд Чарльз,ДМК-Пресс:Классика программирования,1223,1631,25,На складе
Python на практике,Саммерфилд Марк,ДМК-Пресс:Профессиональная серия программиста,917,1223,25,На складе
Параллельное и конкурентное программирование на Haskell,Марлоу Саймон,ДМК-Пресс:Функциональное программирование,1223,1631,25,На складе
Платформа Windows Azure,"Редкар Теджасви, Тони Гвидичи",ДМК-Пресс,1223,1631,25,На складе
Программирование на языке Lua,Иерузалимски Роберту,ДМК-Пресс,994,1325,25,На складе
Параллельное программирование на С++ в действии. Практика разработки многопоточных программ,Уильямс Энтони,ДМК-Пресс,1530,2040,25,На складе
Искусство автономного тестирования с примерами на С#,Ошероув Рой,ДМК-Пресс,1223,1631,25,На складе
"За пределами ""Linux с нуля"". Версия 7.4. Том 2",,ДМК-Пресс,1223,1631,25,На складе
Эффективное использование С++. 55 верных способов улучшить структуру и код ваших программ,Мэйерс Скотт,ДМК-Пресс:Профессиональная серия от Addison-Wesley,768,1024,25,На складе
С для программистов с введением в С11,"Дейтел Харви, Дейтел Пол Дж.",ДМК-Пресс,1147,1529,25,На складе
Расширение библиотеки jQuery,Вуд Кит,ДМК-Пресс,917,1223,25,На складе
.NET Сетевое программирование,Кумар Винод и др.,Лори,958,1277,25,На складе
MATLAB. Полный самоучитель,Дьяконов Владимир Павлович,ДМК-Пресс,1530,2040,25,На складе
Разработка одностраничных веб-приложений,"Миковски Майкл С., Пауэлл Джош К.",ДМК-Пресс,1223,1631,25,На складе
Редкая профессия,Зуев Евгений Александрович,ДМК-Пресс,470,626,25,На складе
Моделирование электротехнических устройств в MATLAB. SimPowerSystems и Simulink,Черных Илья Викторович,ДМК-Пресс:Проектирование,620,827,25,На складе
Java. Эффективное программирование,Блох Джошуа,Лори,884,1179,25,На складе
С/С++ Процедурное программирование,Полубенцева М. И.,BHV:Внесерийная,987,1316,25,На складе
Разработка веб-приложений с использованием AngularJS,"Козловский Павел, Бэкон Дарвин Питер",ДМК-Пресс,994,1325,25,На складе
Изучай Haskell во имя добра!,Липовача Миран,ДМК-Пресс,1147,1529,25,На складе
"Как написать безопасный код на С++, Java, Perl, PHP, ASP.NET",Ховард Майкл и др.,ДМК-Пресс,768,1024,25,На складе
Как программировать на С,"Дейтел Харви, Дейтел Пол Дж.",Бином,1400,1866,25,На складе
Zend Framework 2.0 разработка веб-приложений,Шасанкар Кришна,Питер:Библиотека программиста,426,583,27,На складе
"Разработка приложений для Windows Phone. Архитектура, фреймворки, API",Гецманн Патрик и др.,BHV,1148,1530,25,На складе
Наиболее эффективное использование С++. 35 новых рекомендаций  по улучшению ваших программ,Мейерс Скотт,ДМК-Пресс:Для программистов,768,1024,25,На складе
Дизайн и эволюция языка С++,Страуструп Бьерн,ДМК-Пресс:Для программистов,845,1127,25,На складе
Основы теории вейвлетов. Вейвлеты в MATLAB,Смоленцев Николай Константинович,ДМК-Пресс:Математика и Matlab,1193,1590,25,Ограничено
Теория вычислений для программистов,Стюарт Том,ДМК-Пресс:Теория программирования,994,1325,25,На складе
Алгоритмы и структуры данных. Новая версия для Оберона,Вирт Никлаус,ДМК-Пресс:Классика программирования,695,927,25,На складе
Google App Engine Java и Google Web Toolkit. Разработка Web-приложений,Машнин Тимур Сергеевич,BHV:Профессиональное программирование,497,662,25,Ограничено
R в действии. Анализ и визуализация данных на языке R,Кабаков Роберт И.,ДМК-Пресс,1223,1631,25,На складе
Оптимизация приложений на платформе .Net,Голдштейн Саша и др.,ДМК-Пресс,1376,1835,25,На складе
"Изучаем HTML, XHTML и CSS","Робсон Элизабет, Фримен Эрик",Питер:Head First (O'Reilly),2033,2785,27,На складе
Visuai Basic в задачах и примерах,Сафронов Игорь Константинович,BHV:В задачах и примерах,249,332,25,На складе
CLR via C#. Программирование на платформе Microsoft .NET Framework 4.5 на языке C#. 4-е издание,Рихтер Джеффри,Питер:Мастер-класс,1665,2281,27,На складе
LabVIEW. Практический курс для инженеров и разработчиков,Магда Юрий Степанович,ДМК-Пресс:Все о LabVIEW,470,626,25,На складе
Практика программирования на языке Паскаль. Задачи и решения,Медведик Владимир Иванович,ДМК-Пресс,1070,1427,25,На складе
Visual FoxPro 9.0. Учебный курс,,Корона-Принт,571,761,25,На складе
Программирование для школьников и студентов. Учебное пособие,"Колесов Вадим Владимирович, Романов Максим Николаевич",Феникс:Абитуриент,183,234,22,На складе
Создание облачных и мобильных приложений на языке F#,Мол Дэниел,ДМК-Пресс:Функциональное программирование,620,827,25,На складе
jQuery Mobile. Разработка приложений для смартфонов и планшетов,Фиртман Максимилиано,BHV,311,415,25,На складе
Dart в действии,Баккет Крис,ДМК-Пресс,1223,1631,25,На складе
Архитектура компьютера,"Таненбаум Эндрю, Остин Т.",Питер:Классика computer science,1398,1915,27,На складе
"Принципы построения, применения и проектирования компьютерной платформы U-SYS","Росляков Александр Владимирович, Крылов Павел Сергеевич",Солон-пресс:Библиотека студента,311,414,25,На складе
Разработка приложений Java EE 6 в NetBeans 7,Хеффельфингер Дэвид,ДМК-Пресс,917,1223,25,Ограничено
Курс практического программирования в Delphi. Объектно – ориентированное программирование. Практикум,Санников Е. В.,Солон-пресс:Элективный курс. Профильное обучение,645,860,25,На складе
Программирование микроконтроллеров ATMEL на языке C (+CD),Прокопенко Вадим Сергеевич,Корона-Принт,816,1088,25,На складе
Введение в теорию языков программирования,"Довек Жиль, Леви Жан-Жак",ДМК-Пресс,470,626,25,На складе
Программирование. Учебник,Иванова Галина Сергеевна,Кнорус:Бакалавриат,1069,1425,25,На складе
MUMPS СУБД Практика применения и опыт программирования,Каратаев Евгений Анатольевич,Солон-пресс:Библиотека профессионала,1102,1469,25,Ограничено
Spring в действии,Уоллс Крейг,ДМК-Пресс:Программирование в действии,1530,2040,25,На складе
Программирование на языке Go. Разработка приложений XXI века,Саммерфильд Марк,ДМК-Пресс:Профессиональное программирование,1376,1835,25,На складе
C++ AMP. Построение массивно параллельных программ с помощью Microsoft Visual C++,"Грегори Кейт, Миллер Эйд",ДМК-Пресс,1070,1427,25,На складе
Оптимизация производительности приложений для iOS. Для профессионалов,Во Ханг,ДМК-Пресс,845,1127,25,На складе
Асинхронное программирование в C# 5.0,Дэвис Алекс,ДМК-Пресс,395,527,25,На складе
"TV-приемники на шасси VESTEL 11АКхх. Телевизионные шасси 11АК20, 11АК30, 11АК36, РТ-92 (+CD)",Безверхний И. Б.,МК-Пресс,275,366,25,Ограничено
Жемчужины проектирования алгоритмов. Функциональный подход. С примерами на языке Haskell,Бёрд Ричард,ДМК-Пресс,917,1223,25,На складе
Программируем микрокомпьютер NXT в LabVIEW,"Белиовская Лидия Георгиевна, Белиовский Александр Евгеньевич",ДМК-Пресс:Все о LabVIEW,546,728,25,На складе
ATDD. Разработка программного обеспечения через приемочные тесты. Практический подход,Гэртнер Маркус,ДМК-Пресс,845,1127,25,На складе
Основы работы с технологией CUDA,"Боресков Алексей Викторович, Харламов Александр Александрович",ДМК-Пресс,620,827,25,На складе
Семь баз данных за семь недель. Введение в современные базы данных и идеологию NoSQL,"Редмонд Эрик, Уилсон Джим Р.",ДМК-Пресс,1070,1427,25,На складе
Дневник охотника за ошибками. Путешествие через джунгли проблем безопасности программного обеспеч.,Клейн Тобиас,ДМК-Пресс,768,1024,25,На складе
Изучаем программирование для iPAD. Практич. руководство по созданию приложений для iPAD с ОС iOS 5,"Тэрнер Кирби, Харрингтон Том",ДМК-Пресс,1101,1468,25,На складе
Программирование для Windows на С/С++. В 2-х томах. Том 2,Мартынов Николай Николаевич,Бином,277,369,25,На складе
Создание web-приложений в Silverlight,Буньон Лоран,ДМК-Пресс,764,1018,25,На складе
Скользкие места С++. Как избежать проблем  при проектировании и компиляции ваших программ,Дьюхэрст Стефан К.,ДМК-Пресс:Профессиональная серия от Addison-Wesley,695,927,25,На складе
Цифровая обработка сигналов. Моделирование в Simulink,Солонина Алла Ивановна,BHV:Учебное пособие,458,610,25,На складе
XSLT. Сборник рецептов,Мангано Сэл,BHV,833,1110,25,На складе
Основы Microsoft Visual Studio .NET 2003,Джонсон Брайан и др.,Русская редакция:Фундаментальные знания,251,334,25,На складе
Средства информатизации. Телекоммуникационные технологии,"Могилев Александр Владимирович, Листрова Людмила Викторовна",BHV:Информатика и ИКТ,272,363,25,Ограничено
iPhone. Разработка приложений с открытым кодом,Здзиарски Джонатан,BHV:Бестселлеры O`Reilly,300,400,25,Ограничено
Курс программирования на языке Си. Учебник,"Подбельский Вадим Валерьевич, Фомин Сергей Сергеевич",ДМК-Пресс,917,1223,25,На складе
Профессиональное программирование приложений для iPhone и iPad,Баклин Джин,Эксмо:Мировой компьютерный бестселлер,1026,1316,22,На складе
Программирование в Erlang,"Томпсон Саймон, Чезарини Франческо",ДМК-Пресс:Функциональное программирование,1070,1427,25,На складе
Программирование для студентов и школьников на примере Small Basic,Ахметов Ильдар Геннадьевич,BHV:Информатика и ИКТ,178,237,25,На складе
Silverlight. Практическое руководство,Браун Пит,Питер,1247,1708,27,На складе
PHP. Создание динамических страниц,Пауэрс Дэвид,Рид Групп:Веб-технологии,1061,Нет старого прайса,Нет скидки,На складе
Изучаем Java,"Сьерра Кэтти, Бейтс Берт",Эксмо:Мировой компьютерный бестселлер,1232,1579,22,На складе
Программирование и отладка С/С++ приложений для микроконтроллеров ARM,Магда Юрий Степанович,ДМК-Пресс,546,728,25,На складе
Самоучитель Adobe Dreamweaver CS5.5,Дронов Владимир Александрович,BHV:Профессиональное программирование,272,363,25,На складе
Программируем на Python,Доусон Майкл,Питер,1017,1393,27,На складе
LabVIEW в научных исследованиях,Евдокимов Юрий Кириллович и др.,ДМК-Пресс:Все о LabVIEW,1147,1529,25,На складе
10 практических устройств на AVR-микроконтроллерах. Книга 1 (+CD),Кравченко Алексей Владимирович,Корона-Принт,382,509,25,На складе
10 практических устройств на AVR-микроконтроллерах. Книга 2 (+CD),Кравченко Алексей Владимирович,Корона-Принт,382,509,25,Ограничено
Применение Web-стандартов. CSS и Ajax для больших сайтов,Шмитт Кристофер и др.,Корона-Принт,311,415,25,На складе
"Применение микроконтролеров PIC18. Архитектура, программирование с применением С и ассемблера (+CD)",Брэй Барри,Корона-Принт,1026,1368,25,На складе
Радиолюбительские конструкции на PIC-микроконтроллерах. Книга 1 (+CD),Заец Николай Иванович,Корона-Принт,484,645,25,На складе
Flex 4. Рецепты программирования,Ноубл Джошуа и др.,BHV:Рецепты программирования,855,1140,25,На складе
Цифровая обработка сигналов на системном уровне с использованием LabVIEW (+CD),"Кехтарнаваз Насер, Ким Намджин",Додека XXI век,1416,1888,25,Ограничено
Структуры данных и алгоритмы в Java. Классика Computers Science,Лафоре Роберт,Питер:Классика computer science,1271,1741,27,На складе
1С: Предприятие 8.2. Коротко о главном. Новые возможности версии 8.2 (+CD),Радченко Максим Григорьевич,1С:1С: Предприятие 8.2,250,343,27,На складе
"""1С.Предприятие 8"". Конвертация данных. Обмен данными между прикладными решениями (+CD)","Бояркин В.Э., Филатов А. И.",1С:1С: Предприятие 8,243,333,27,На складе
"Как настраивать ""1С:Предприятие 8.2"" при внедрении (+СD)",Ажеронок Валентин Александрович,1С:1С: Предприятие 8.2,243,333,27,На складе
"Assembler. Для DOS, Windows и Unix",Зубков Сергей Владимирович,ДМК-Пресс:Для программистов,1147,1529,25,На складе
Программирование искусственного интеллекта в приложениях,Джонс М. Тим,ДМК-Пресс:Для программистов,768,1024,25,На складе
Постреляционная СУБД Cache 5. Объектно-ориентированная разработка приложений (+CD),Кирстен Вольфганг и др.,Бином,576,768,25,На складе
Программирование на алгоритмическом языке КуМир,"Анеликова Людмила Александровна, Гусева Ольга Борисовна",Солон-пресс:Элективный курс. Профильное обучение,227,303,25,На складе
Функциональное программирование на F#,Сошников Дмитрий Валерьевич,ДМК-Пресс,583,777,25,На складе
Нейросети и нейрокомпьютеры,"Злобин Владимир Константинович, Ручкин Владимир Николаевич",BHV:Учебное пособие,249,332,25,На складе
Введение в UML от создателей языка,Рамбо Джеймс и др.,ДМК-Пресс:Классика программирования,917,1223,25,На складе
Технологии программирования на Java 2. Распределенные приложения,Дейтел Харви и др.,Бином,447,596,25,Ограничено
Совершенный код. Мастер-класс,Макконнелл Стив,Русская редакция,1361,1815,25,На складе
ASP.NET. Сборник рецептов (+CD),Агуров Павел Владимирович,BHV:Профессиональное программирование,396,528,25,На складе
Самоучитель PHP 5/6,"Кузнецов Максим Валерьевич, Симдянов Игорь Вячеславович",BHV:Самоучитель,674,899,25,На складе
Разработка Web-портала в ASP.NET.2.0 и SharePoint 2007 (+CD),Гробов Игорь Дмитриевич,BHV:Профессиональное программирование,470,627,25,На складе
Ассемблер для Windows (+СD),Пирогов Владислав Юрьевич,BHV:Профессиональное программирование,485,646,25,На складе
Язык программирования Java и среда NetBeans (+DVD),Монахов Вадим Валерьевич,BHV:Мастер решений,569,759,25,На складе
C# 3.0. Справочник,Албахари Джозеф,BHV:Бестселлеры O`Reilly,635,847,25,Ограничено
Firebird: руководство разраб баз данных,Борри Хелен,BHV:В подлиннике,609,812,25,На складе
Методы программирования. Компьютерные вычисления,"Могилев Александр Владимирович, Листрова Людмила Викторовна",BHV:Информатика и ИКТ,380,507,25,Ограничено
Самоучитель Silverlight 3,Дронов Владимир Александрович,BHV:Самоучитель,311,415,25,На складе
Windows Driver Foundation: разработка драйверов,"Орвик Пенни, Смит Гай",BHV,769,1025,25,На складе
Microsoft ASP.NET 2.0. Базовый курс. Мастер-класс,Эспозито Дино,Питер,652,893,27,На складе
Exchange Server 2010. Практическое руководство,Весселиус Яап,Эком,718,957,25,Ограничено
"Современные микроконтроллеры. Архитектура, программирование, разработка устройств",Магда Юрий Степанович,ДМК-Пресс,620,827,25,На складе
Объектно-ориентированное программирование в С++,Лафоре Роберт,Питер:Классика computer science,1526,2090,27,На складе
Рефакторинг в C# и ASP.NET для профессионалов,Арсеновски Даниэль,Диалектика: ,1715,2287,25,На складе
Шаблоны корпоративных приложений,Фаулер Мартин,Диалектика: ,3242,4322,25,На складе
Silverlight 4. Создание насыщенных Web-приложений,Байдачный Сергей Сергеевич,Солон-пресс:Библиотека профессионала,418,557,25,На складе
С++ для начинающих,Шилдт Герберт,Эком:Шаг за шагом,806,1074,25,На складе
Эффективная работа с унаследованным кодом,Физерс Майкл К.,Вильямс: ,2858,3811,25,Ограничено
Микрокомпьютерные системы управления. Первое знакомство,Суэмацу Есикадзу,Додека XXI век: ,620,827,25,На складе
Базы данных. Учебник,Кумскова Ирина Александровна,Кнорус:Среднее профессиональное образование,1336,1781,25,На складе
Введение в современные САПР. Курс лекций,Малюх Владимир Николаевич,ДМК-Пресс:САПР от А до Я,546,728,25,На складе
"Периферийные устройства: интерфейсы, схемотехника, программирование",Авдеев Вадим Александрович,ДМК-Пресс:Все о радиоэлектронике,1376,1835,25,На складе
Разработка программного обеспечения: управление изменениями,"Белладжио Дэвид, Миллиган Том",ДМК-Пресс: ,768,1024,25,Ограничено
PIC-микроконтроллеры: архитектура и программирование,Предко Майкл,ДМК-Пресс: ,917,1223,25,На складе
Silverlight 2. Технология создания интернет-приложений,Буньон Лоран,ДМК-Пресс: ,626,834,25,На складе
LabVIEW: стиль программирования,Блюм Питер,ДМК-Пресс:LabVIEW,695,927,25,На складе
Справочник по языку Haskell,Душкин Роман Викторович,ДМК-Пресс: ,994,1325,25,На складе
Matlab & Simulink. Проектирование мехатронных систем на ПК. Учебное пособие для ВУЗов (+CD),Герман-Галкин Сергей Германович,Корона-Принт:Учебное пособие,509,678,25,На складе
Pocket PC. Руководство разработчика,Крелль Брюс Е.,ДМК-Пресс: ,222,296,25,Ограничено
Аналоговые интерфейсы микроконтроллеров,Болл Стюарт Р.,Додека XXI век:Программируемые системы,917,1223,25,На складе
Visual C# 2.0.NET. Полное руководство,"Прайс Дебора, Гандэрлой Майк",Корона-Принт: ,694,925,25,На складе
Macromedia Authorware 6.0. Разработка мультимедийных учебных курсов,Гультяев Алексей Константинович,Корона-Принт: ,341,455,25,На складе
Компьютерное моделирование полупроводниковых систем в MatLab 6.0. Учебное пособие,Герман-Галкин Сергей Германович,Корона-Принт:Учебное пособие,387,516,25,На складе
