Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
Основы алгоритмизации и программирования на PythonОсновы алгоритмизации и программирования на Python,Гуриков Сергей Ростиславович,Форум:Высшее образование: Бакалавриат,3664,4885,25,На складе
Android. Программирование для профессионалов,Филлипс Билл и др.,Питер:Для профессионалов,1648,2257,27,На складе
Алгебра и геометрия с примерами на Python. Учебное пособие,"Борзунов Сергей Викторович, Кургалин Сергей Дмитриевич",Лань:Компьютеры и программное обеспечение,3455,4607,25,На складе
Корпоративные информационные системы. Администрирование сетевого домена. Учебное пособие,Журавлев Антон Евгеньевич и др.,Лань:Компьютеры и программное обеспечение,1644,2192,25,На складе
Введение в программирование на языке Visual Basic for Applications (VBA). Учебное пособие,Гуриков Сергей Ростиславович,ИНФРА-М:Среднее профессиональное образование,2547,3396,25,На складе
Hello World! Программирование для детей и взрослых,"Сэнд Уоррен, Сэнд Картер",ДМК-Пресс,1376,1835,25,На складе
Методология создания информационных систем. Учебное пособие,"Карминский Александр Маркович, Черников Борис Васильевич",ИНФРА-М:Среднее профессиональное образование,2236,2981,25,На складе
"Разработка бизнес-приложений на платформе ""1С: Предприятие"". Учебное пособие",Дадян Эдуард Григорьевич,ИНФРА-М:Среднее профессиональное образование,2139,2852,25,Ограничено
Время UNIX. A History and a Memoir,Керниган Брайан,Питер:Библиотека программиста,986,1350,27,На складе
Проектирование информационных систем. Учебное пособие. СПО,Вейцман Владимир Моисеевич,Лань:Компьютеры и программное обеспечение,1878,2504,25,На складе
"Интеграция управления программой и системной инженерии. Методы, инструменты и организационные систем",Мицуфуджи Акио и др.,ДМК-Пресс,2294,3059,25,На складе
Современный JavaScript для нетерпеливых,Хорстман Кэй С.,ДМК-Пресс,1376,1835,25,На складе
Инфокоммуникационные системы. Учебник,"Журавлев Антон Евгеньевич, Макшанов Андрей Владимирович",Лань:Компьютеры и программное обеспечение,2485,3313,25,На складе
Инфокоммуникационные системы. Учебник,Журавлев Антон Евгеньевич и др.,Лань:Компьютеры и программное обеспечение,2409,3212,25,На складе
Программирование на Rust. Официальный гайд,"Клабник Стив, Николс Кэрол",Питер:Для профессионалов,2529,3465,27,На складе
Проектирование информационных систем. Учебное пособие,Коваленко Владимир Васильевич,Форум:Высшее образование: Бакалавриат,2567,3422,25,На складе
Профессиональный TypeScript. Разработка масштабируемых JavaScript-приложений,Черный Борис,Питер:Бестселлеры O`Reilly,1259,1724,27,На складе
"Подробное руководство по DAX: бизнес-аналитика с Microsoft Power Bl, SQL Server Analysis Services","Феррари Альберто, Руссо Марко",ДМК-Пресс,3059,4079,25,На складе
Хаос-инжиниринг,"Розенталь Кейси, Джонс Нора",ДМК-Пресс,1530,2040,25,На складе
Цифровая обработка сигналов на системном уровне с использованием LabVIEW,"Кехтарнаваз Насер, Ким Намджин",ДМК-Пресс,1376,1835,25,На складе
Спортивное программирование,"Халим Стивен, Халим Феникс",ДМК-Пресс,2141,2855,25,На складе
Django 3.0. Практика создания веб-сайтов на Python,Дронов Владимир Александрович,BHV:Профессиональное программирование,1100,1467,25,На складе
Python и наука о данных для чайников,"Мюллер Джон Пол, Массарон Лука",Диалектика,1556,2075,25,Ограничено
Криптография - наука о тайнописи. Учебное пособие,Фомичев Владимир Михайлович,Прометей,539,738,27,На складе
Искусство тестирования программ,Сандлер Кори и др.,Диалектика,2592,3456,25,На складе
Введение в гибридные технологии разработки мобильных приложений. Учебное пособие,"Васильев Николай Павлович, Заяц Анатолий Моисеевич",Лань:Учебники для вузов. Специальная литература,2108,2810,25,На складе
Прикладное программирование. Учебное пособие,Никифоров Сергей Николаевич,Лань:Среднее профессиональное образование,737,983,25,Ограничено
Python для программирования криптовалют,Сонг Джимми,Диалектика,3242,4322,25,На складе
Прикладное машинное обучение без учителя с использованием Python,Пател Анкур,Диалектика,2592,3456,25,На складе
Алгоритмы оптимизации,"Кохендерфер Майкл, Уилер Тим",Вильямс,3890,5186,25,Ограничено
"Мифический человеко-месяц, или Как создаются программные системы",Брукс Фредерик,Питер:Библиотека программиста,1267,1735,27,На складе
"Разработка приложений на С++ с использованием Boost. Рецепты, упрощающие разработку вашего приложени",Полухин Антон,ДМК-Пресс,1530,2040,25,На складе
JavaScript. 20 уроков для начинающих,Дронов Владимир Александрович,BHV:Для Начинающих,741,988,25,На складе
PHP и MySQL. 25 уроков для начинающих,Дронов Владимир Александрович,BHV:Для Начинающих,851,1134,25,На складе
Программирование для Android,Колисниченко Денис Николаевич,BHV:Самоучитель,556,741,25,На складе
Ловушка для багов. Полевое руководство по веб-хакингу,Яворски Питер,Питер:Библиотека программиста,1259,1724,27,На складе
Программирование квантовых компьютеров. Базовые алгоритмы и примеры кода,Химено-Сеговиа Мерседес и др.,Питер:Бестселлеры O`Reilly,1270,1740,27,На складе
Site Reliability Workbook. Практическое применение,Бейер Бетси и др.,Питер:Бестселлеры O`Reilly,2033,2785,27,На складе
Разработка и реализац.портальн.решений: Практикум,"Лукьянов Павел Борисович, Маркова Светлана Владимировна",Прометей,736,1008,27,На складе
Транспортная логистика (линейное программирование). Учебное пособие,Пашков Николай Николаевич,Прометей,841,1152,27,На складе
Генетические алгоритмы на Python,Вирсански Эйял,ДМК-Пресс,1530,2040,25,На складе
Kotlin. Программирование на примерах,Аделекан Ияну,BHV,1021,1361,25,На складе
Принципы разработки программных пакетов. Проектирование повторно используемых компонентов,Нобак Маттиас,ДМК-Пресс,1376,1835,25,На складе
"Взлом. Приемы, трюки и секреты хакеров",Комиссаров Иван aLLy и др.,BHV:Библиотека журнала «Хакер»,556,741,25,На складе
HTML и CSS. 25 уроков для начинающих,Дронов Владимир Александрович,BHV:Для Начинающих,798,1064,25,На складе
Алгоритмы и программы. Язык С++. Учебное пособие,"Конова Елена Александровна, Поллак Галина Андреевна",Лань:Учебники для вузов. Специальная литература,1196,1595,25,На складе
Основы объектно-ориентированного программирования на базе языка С#. Учебное пособие,Залогова Любовь Алексеевна,Лань:Учебники для вузов. Специальная литература,895,1193,25,Ограничено
Обработка естественного языка в действии,Хобсон Лейн и др.,Питер:Для профессионалов,2161,2960,27,На складе
"Golang для профи. Работа с сетью, многопоточность, структуры данных и машинное обучение с Go",Цукалос Михалис,Питер:Для профессионалов,3278,4491,27,На складе
Программируем с PyTorch. Создание приложений глубокого обучения,Пойтнер Ян,Питер:Бестселлеры O`Reilly,1270,1740,27,На складе
Эффективный TypeScript. 62 способа улучшить код,Вандеркам Дэн,Питер:Бестселлеры O`Reilly,1270,1740,27,На складе
Istio. Приступаем к работе,"Калькот Ли, Бутчер Зак",ДМК-Пресс,1530,2040,25,На складе
Апокалипсис криптографии. Подготовка к криптовалютным вычислениям,Граймс Роджер А.,ДМК-Пресс,1376,1835,25,На складе
Проектирование веб-API,Лоре Арно,ДМК-Пресс,1530,2040,25,На складе
Игра в цифры. Как аналитика позволяет видеоиграм жить лучше,Сабиров Василий Константинович,Бомбора:Российский компьютерный бестселлер,1026,1316,22,На складе
Мобильные роботы на базе ESP32 в среде Arduino IDE,Момот Михаил Викторович,BHV:Электроника,634,845,25,На складе
Программирование на VBA в Excel 2019. Самоучитель,"Комолова Нина Владимировна, Клименко А. В.",BHV:Самоучитель,710,947,25,На складе
Програмирование микроконтроллеров AVR. От Arduino к ассемблеру,Ревич Юрий Всеволодович,BHV:Электроника,764,1019,25,На складе
Глубокое обучение в картинках. Визуальный гид по искусственному интеллекту,Крон Джон и др.,Питер:Библиотека программиста,1259,1724,27,На складе
Глубокое обучение с подкреплением. AlphaGo и другие технологии,Лапань Максим,Питер:Для профессионалов,1995,2733,27,На складе
Чистый Agile. Основы гибкости,Мартин Роберт С.,Питер:Библиотека программиста,1270,1740,27,На складе
Spring Boot 2. Лучшие практики для профессионалов,Гутьеррес Фелипе,Питер:Библиотека программиста,2016,2762,27,На складе
"Python. Искусственный интеллект, большие данные и облачные вычисления","Дейтел Пол Дж., Дейтел Харви",Питер:Для профессионалов,2541,3481,27,На складе
Эволюционные нейросети на языке Python,Омельяненко Ярослав,ДМК-Пресс,1530,2040,25,На складе
Алгоритмы обучения с подкреплением на Python,Лонца Андреа,ДМК-Пресс,1530,2040,25,На складе
Цифровой синтез. Практический курс,Романов А. Ю. и др.,ДМК-Пресс,1988,2651,25,На складе
Системное программирование. Лабораторные работы. Учебное пособие,Жулабова Фатима Тахировна,Лань:Учебники для вузов. Специальная литература,1086,1448,25,На складе
Криптография и взлом шифров на Python,Свейгарт Эл,Диалектика,1944,2592,25,На складе
Машинное обучение. Карманный справочник. Краткое руководство по методам структурированного машинного,Харрисон Мэтт,Диалектика,1038,1384,25,На складе
Учимся программировать с примерами на Python,Фримен Эрик,Диалектика:Head First,1944,2592,25,На складе
